Date,^NSEI,^BSESN,BSE-100.BO
2012-09-13,5435.35009765625,18021.16015625,5401.75
2012-09-14,5577.64990234375,18464.26953125,5528.580078125
2012-09-17,5610.0,18542.310546875,5570.2099609375
2012-09-18,5600.0498046875,18496.009765625,5574.58984375
2012-09-20,5554.25,18349.25,5534.7900390625
2012-09-21,5691.14990234375,18752.830078125,5664.6201171875
2012-09-24,5669.60009765625,18673.33984375,5650.60986328125
2012-09-25,5673.89990234375,18694.41015625,5659.330078125
2012-09-26,5663.4501953125,18632.169921875,5648.14990234375
2012-09-27,5649.5,18579.5,5642.5498046875
2012-09-28,5703.2998046875,18762.740234375,5701.39013671875
2012-10-01,5718.7998046875,18823.91015625,5723.47998046875
2012-10-03,5731.25,18869.689453125,5742.31982421875
2012-10-04,5787.60009765625,19058.150390625,5796.89990234375
2012-10-05,5746.9501953125,18938.4609375,5760.35986328125
2012-10-08,5676.0,18708.98046875,5693.02978515625
2012-10-09,5704.60009765625,18793.359375,5719.91015625
2012-10-10,5652.14990234375,18631.099609375,5665.9501953125
2012-10-11,5708.0498046875,18804.75,5724.759765625
2012-10-12,5676.0498046875,18675.1796875,5696.3701171875
2012-10-15,5687.25,18713.55078125,5702.68994140625
2012-10-16,5648.0,18577.69921875,5660.85009765625
2012-10-17,5660.25,18610.76953125,5671.08984375
2012-10-18,5718.7001953125,18791.9296875,5731.06982421875
2012-10-19,5684.25,18682.310546875,5694.2001953125
2012-10-22,5717.14990234375,18793.439453125,5723.7001953125
2012-10-23,5691.39990234375,18710.01953125,5697.6298828125
2012-10-25,5705.2998046875,18758.630859375,5711.419921875
2012-10-29,5665.60009765625,18635.8203125,5659.490234375
2012-10-30,5597.89990234375,18430.849609375,5593.27001953125
2012-10-31,5619.7001953125,18505.380859375,5620.990234375
2012-11-01,5645.0498046875,18561.69921875,5651.1298828125
2012-11-02,5697.7001953125,18755.44921875,5705.91015625
2012-11-05,5704.2001953125,18762.869140625,5707.18017578125
2012-11-06,5724.39990234375,18817.380859375,5727.97998046875
2012-11-07,5760.10009765625,18902.41015625,5764.60986328125
2012-11-08,5738.75,18846.259765625,5751.41015625
2012-11-09,5686.25,18683.6796875,5702.919921875
2012-11-12,5683.7001953125,18670.33984375,5713.9599609375
2012-11-15,5631.0,18471.369140625,5668.14990234375
2012-11-16,5574.0498046875,18309.369140625,5609.08984375
2012-11-19,5571.39990234375,18339.0,5601.43017578125
2012-11-20,5571.5498046875,18329.3203125,5588.97021484375
2012-11-21,5614.7998046875,18460.380859375,5629.580078125
2012-11-22,5627.75,18517.33984375,5649.6201171875
2012-11-23,5626.60009765625,18506.5703125,5648.8701171875
2012-11-26,5635.89990234375,18537.009765625,5664.75
2012-11-27,5727.4501953125,18842.080078125,5755.2099609375
2012-11-29,5825.0,19170.91015625,5852.97998046875
2012-11-30,5879.85009765625,19339.900390625,5908.97021484375
2012-12-03,5870.9501953125,19305.3203125,5909.14990234375
2012-12-04,5889.25,19348.119140625,5927.580078125
2012-12-05,5900.5,19391.859375,5943.1298828125
2012-12-06,5930.89990234375,19486.80078125,5977.91015625
2012-12-07,5907.39990234375,19424.099609375,5951.830078125
2012-12-10,5908.89990234375,19409.689453125,5952.259765625
2012-12-11,5898.7998046875,19387.140625,5941.81005859375
2012-12-12,5888.0,19355.259765625,5934.35009765625
2012-12-13,5851.5,19229.259765625,5891.39013671875
2012-12-14,5879.60009765625,19317.25,5926.31005859375
2012-12-17,5857.89990234375,19244.419921875,5915.6298828125
2012-12-18,5896.7998046875,19364.75,5958.35009765625
2012-12-19,5929.60009765625,19476.0,5996.35009765625
2012-12-20,5916.39990234375,19453.919921875,5983.93017578125
